date,genre,title,url_picture
16/04/2025,"Biopic, Drame",OXANA,https://ecran-total.fr/wp-content/uploads/2023/10/Image-1-220x300.jpg
16/04/2025,Comédie dramatique,LA RÉPARATION,https://ecran-total.fr/wp-content/uploads/2024/01/Reparation-film-225x300.jpg
16/04/2025,"Drame, Western",HARVEST,https://ecran-total.fr/wp-content/uploads/2024/02/Harvest-affiche-1-225x300.webp
16/04/2025,Comédie,LE MÉLANGE DES GENRES,https://ecran-total.fr/wp-content/uploads/2024/02/Le-Melange-des-genres-affiche-225x300.webp
16/04/2025,"Drame, Horreur, Thriller",SINNERS,https://ecran-total.fr/wp-content/uploads/2024/03/Affiche-Sinners-1-240x300.jpg
16/04/2025,Non classé,KYUKA – AVANT LA FIN DE L’ÉTÉ,https://ecran-total.fr/wp-content/uploads/2024/04/Kyuka-–-Before-Summers-End-212x300.webp
16/04/2025,Action,RAPIDE,https://ecran-total.fr/wp-content/uploads/2024/04/rapide-221x300.jpg
16/04/2025,Comédie,AIMONS-NOUS VIVANTS,https://ecran-total.fr/wp-content/uploads/2024/09/Aimons-nous-vivants-affiche-219x300.webp
16/04/2025,Drame,TOXIC,https://ecran-total.fr/wp-content/uploads/2024/12/Toxic-affiche-1-200x300.webp
16/04/2025,Drame,DIMANCHES,https://ecran-total.fr/wp-content/uploads/2024/12/Dimanches-affiche-225x300.webp
16/04/2025,Drame,COMMENT DEVENIR RICHE (GRÂCE À SA GRAND-MÈRE),https://ecran-total.fr/wp-content/uploads/2025/01/Comment-devenir-riche-grace-a-sa-grand-mere-affiche-220x300.webp
16/04/2025,"Drame, Polar",LETTRES SICILIENNES,https://ecran-total.fr/wp-content/uploads/2025/01/Lettres-siciliennes-affiche-1-221x300.webp
16/04/2025,"Comédie, Documentaire",CECI N’EST PAS UNE GUERRE,https://ecran-total.fr/wp-content/uploads/2025/01/Ceci-nest-pas-une-guerre-affiche-212x300.webp
17/04/2025,"Action, Animation, Aventure",KAIJU NO. 8 : MISSION RECON,https://ecran-total.fr/wp-content/uploads/2025/03/unnamed-212x300.png
23/04/2025,"Drame, Histoire",LA CHAMBRE DE MARIANA,https://ecran-total.fr/wp-content/uploads/2022/09/La-Chambre-de-Mariana-Affiche-1-225x300.jpg
