actors,critics_score,date,director,editor,french_boxoffice,french_first_week_boxoffice,french_visa,genre,langage,length,nationality,title,url,viewers_score,vo_title
Ami Tôma|Mana Ashida|Yûki Kaji,3.5,2023-09-06,Keiichi Hara,Eurozoom,71597,20761,160405,Animation|Drame|Fantastique,Japonais,116,Japon,Le Château Solitaire dans le Miroir,/video/player_gen_cmedia=19602173&cfilm=311559.html,3.9,Kagami no Kojou
Bárbara Lennie|Irene Escolar|Itziar Manero,3.5,2023-11-29,Itsaso Arana,Arizona Distribution,4935,2991,160976,Comédie dramatique,Espagnol,85,Espagne,Les Filles vont bien,/article/fichearticle_gen_carticle=1000099469.html,3.0,Las chicas están bien
,3.5,2024-07-10,Rashin Kheyrieh,Les Films du Whippet,278,106,2024002054,Animation|Famille,Silencieux,38,Iran|Russie,L'Arbre à Contes,/article/fichearticle_gen_carticle=1000089882.html,2.8,
Colman Domingo|Clarence Maclin|Sean San Jose,3.5,2025-01-29,Greg Kwedar,Metropolitan FilmExport,45723,24945,163554,Drame,Anglais,107,U.S.A.,Sing Sing,/article/fichearticle_gen_carticle=1000131867.html,3.9,
Fanny Ardant|Mathieu Kassovitz|Laetitia Dosch,3.5,2024-03-13,Thierry Klifa,Apollo Films,69759,38177,152501,Comédie dramatique|Policier,Français,116,France,Les Rois de la Piste,/article/fichearticle_gen_carticle=1000070726.html,2.9,
Anja Plaschg|David Scheid|Maria Hofstätter,3.5,2024-10-02,Severin Fiala,Pan Distribution,2461,1408,160367,Drame|Historique|Thriller,Allemand,121,Autriche|Allemagne,The Devil’s Bath,/personne/fichepersonne_gen_cpersonne=522801.html,3.2,Des Teufels Bad
Louiza Aura|Gio Ventura|Bilal Hassani,3.5,2024-11-27,Alexis Langlois,Bac Films,21015,11779,156904,Comédie dramatique,Français,115,Belgique|France,Les Reines du drame,/article/fichearticle_gen_carticle=1000115866.html,3.2,
James McAvoy|Mackenzie Davis|Aisling Franciosi,3.5,2024-09-18,James Watkins,Universal Pictures International France,268775,71332,162901,Epouvante-horreur,Anglais,110,U.S.A.|Danemark,Speak No Evil,/video/player_gen_cmedia=20602417&cfilm=263048.html,3.6,
Sandrine Kiberlain|Laurent Lafitte|Amira Casar,3.5,2024-12-18,Guillaume Nicloux,Memento,431688,140451,142228,Drame|Romance,Français,98,France|Belgique,"Sarah Bernhardt, La Divine",/article/fichearticle_gen_carticle=1000118616.html,3.2,
Grégory Gadebois|Daniel Auteuil|Sidse Babett Knudsen,3.5,2024-09-11,Daniel Auteuil,Zinc Film,688297,212457,160112,Drame,Français,115,France,Le Fil,/video/player_gen_cmedia=20603196&cfilm=320038.html,3.9,
