Date Article,Période,Année Courante,Année Précédente,Évolution (%)
04 novembre 2024,Janvier,13.71,14.82,-7.5
04 novembre 2024,Février,15.07,18.03,-16.4
04 novembre 2024,Mars,15.19,15.76,-3.6
04 novembre 2024,Avril,11.89,18.61,-36.1
04 novembre 2024,Mai,15.72,13.76,+14.3
04 novembre 2024,Juin,14.15,10.22,+38.4
04 novembre 2024,Juillet,17.83,18.30,-2.6
04 novembre 2024,Août,14.27,15.42,-7.5
04 novembre 2024,Septembre,9.86,8.95,+10.1
04 novembre 2024,Octobre,15.53,14.01,+10.8
04 novembre 2024,Dix premiers mois,143.21,147.88,-3.2
04 novembre 2024,Année glissante (de novembre n-1 à octobre n),175.72,180.63,-2.7
01 décembre 2023,janvier,14.81,10.67,+38.7
01 décembre 2023,février,18.02,13.02,+38.5
01 décembre 2023,mars,15.80,13.29,+18.8
01 décembre 2023,avril,18.53,13.80,+34.3
01 décembre 2023,mai,13.78,11.17,+23.4
01 décembre 2023,juin,10.27,11.13,-7.7
01 décembre 2023,juillet,18.21,13.79,+32.1
01 décembre 2023,août,15.46,10.46,+47.8
01 décembre 2023,septembre,8.94,7.56,+18.3
01 décembre 2023,octobre,13.86,14.41,-3.9
01 décembre 2023,novembre,15.11,14.50,+4.3
01 décembre 2023,onze premiers mois,162.80,133.80,+21.7
01 décembre 2023,"année glissante
			(de décembre n-1 à novembre n)",181.03,153.96,+17.6
03 mars 2025,Janvier,13.81,13.71,+0.7
03 mars 2025,Février,14.48,15.08,-4.0
03 mars 2025,Deux premiers mois,28.29,28.79,-1.7
03 mars 2025,Année glissante (de mars n-1 à février n),180.50,176.33,+2.4
03 juin 2024,Janvier,13.70,14.82,-7.5
03 juin 2024,Février,15.05,18.03,-16.5
03 juin 2024,Mars,15.18,15.76,-3.7
03 juin 2024,Avril,12.05,18.61,-35.2
03 juin 2024,Mai,15.61,13.76,+13.5
03 juin 2024,cinq  premiers mois,71.60,80.97,-11.6
03 juin 2024,Année glissante (de juin n-1 à mai n),171.02,171.09,0.0
31 décembre 2024,Janvier,13.71,14.82,-7.4
31 décembre 2024,Février,15.08,18.03,-16.4
31 décembre 2024,Mars,15.19,15.76,-3.6
31 décembre 2024,Avril,11.90,18.61,-36.1
31 décembre 2024,Mai,15.72,13.76,+14.3
31 décembre 2024,Juin,14.15,10.22,+38.4
31 décembre 2024,Juillet,17.87,18.30,-2.4
31 décembre 2024,Août,14.15,15.42,-8.3
31 décembre 2024,Septembre,10.05,8.95,+12.2
31 décembre 2024,Octobre,15.30,14.01,+9.2
31 décembre 2024,Novembre,17.69,15.17,+16.6
31 décembre 2024,Décembre,20.46,17.34,+18.0
31 décembre 2024,Cumul annuel,181.27,180.39,+0.5
04 mars 2024,Janvier,13.54,14.81,-8.6
04 mars 2024,Février,15.07,18.03,-16.4
04 mars 2024,deux premiers mois,28.61,32.84,-12.9
04 mars 2024,Année glissante (de mars n-1 à février n),175.88,161.17,+9.1
04 septembre 2023,janvier,14.81,10.67,+38.7
04 septembre 2023,février,18.02,13.02,+38.4
04 septembre 2023,mars,15.80,13.29,+18.8
04 septembre 2023,avril,18.49,13.80,+34.0
04 septembre 2023,mai,13.69,11.17,+22.6
04 septembre 2023,juin,9.81,11.13,-11.8
04 septembre 2023,juillet,18.38,13.79,+33.3
04 septembre 2023,août,15.91,10.46,+52.1
04 septembre 2023,huit premiers mois,124.91,97.33,+28.3
04 septembre 2023,"année glissante
			(de septembre n-1 à août n)",179.60,155.12,+15.8
02 août 2024,janvier,13.71,14.82,-7.5
02 août 2024,février,15.07,18.03,-16.4
02 août 2024,mars,15.19,15.76,-3.6
02 août 2024,avril,11.88,18.61,-36.1
02 août 2024,mai,15.70,13.76,+14.2
02 août 2024,juin,13.21,10.22,+29.2
02 août 2024,juillet,18.71,18.30,+2.2
02 août 2024,sept premiers mois,103.48,109.50,-5.5
02 août 2024,année glissante (d’août n-1 à juillet n),174.37,174.69,-0.2
03 octobre 2023,janvier,14.81,10.67,+38.7
03 octobre 2023,février,18.02,13.02,+38.4
03 octobre 2023,mars,15.80,13.29,+18.8
03 octobre 2023,avril,18.52,13.80,+34.2
03 octobre 2023,mai,13.76,11.17,+23.2
03 octobre 2023,juin,10.26,11.13,-7.8
03 octobre 2023,juillet,18.22,13.79,+32.1
03 octobre 2023,août,15.91,10.46,+52.1
03 octobre 2023,septembre,8.78,7.56,+16.1
03 octobre 2023,neuf premiers mois,134.08,104.89,+27.8
03 octobre 2023,"année glissante
			(de octobre n-1 à septembre n)",181.21,153.38,+18.1
03 avril 2025,janvier,13.81,13.71,+0.8
03 avril 2025,février,14.51,15.06,-3.7
03 avril 2025,mars,12.53,15.19,-17.5
03 avril 2025,trois premiers mois,40.85,43.96,-7.1
03 avril 2025,année glissante (d’avril n-1 à mars n),178.41,175.79,+1.5
02 septembre 2024,Janvier,13.71,14.82,-7.5
02 septembre 2024,Février,15.07,18.03,-16.4
02 septembre 2024,Mars,15.19,15.76,-3.6
02 septembre 2024,Avril,11.88,18.61,-36.1
02 septembre 2024,Mai,15.70,13.76,+14.2
02 septembre 2024,Juin,13.21,10.22,+29.2
02 septembre 2024,Juillet,18.71,18.30,+2.2
02 septembre 2024,Août,14.27,15.42,-7.5
02 septembre 2024,Huit premiers mois,117.75,124.92,-5.7
02 septembre 2024,Année glissante (de septembre n-1 à août n),173.22,179.65,-3.6
03 décembre 2024,janvier,13.71,14.82,-7.5
03 décembre 2024,février,15.07,18.03,-16.4
03 décembre 2024,mars,15.19,15.76,-3.6
03 décembre 2024,avril,11.89,18.61,-36.1
03 décembre 2024,mai,15.72,13.76,+14.3
03 décembre 2024,juin,14.15,10.22,+38.4
03 décembre 2024,juillet,17.83,18.30,-2.6
03 décembre 2024,août,14.14,15.42,-8.3
03 décembre 2024,septembre,10.04,8.95,+12.2
03 décembre 2024,octobre,15.53,14.01,+10.8
03 décembre 2024,novembre,17.69,15.17,+16.6
03 décembre 2024,onze premiers mois,161.00,163.05,-1.3
03 décembre 2024,année glissante (de décembre n-1 à novembre n),178.34,181.29,-1.6
02 juillet 2024,Janvier,13.71,14.82,-7.5
02 juillet 2024,Février,15.07,18.03,-16.4
02 juillet 2024,Mars,15.19,15.76,-3.6
02 juillet 2024,Avril,11.87,18.61,-35.2
02 juillet 2024,Mai,15.62,13.76,+13.6
02 juillet 2024,Juin,13.18,10.22,+28.9
02 juillet 2024,Six  premiers mois,84.64,91.19,-7.2
02 juillet 2024,Année glissante (de juillet n-1 à juin n),173.83,170.18,+2.1
02 janvier 2024,janvier,14.81,10.67,+38.7
02 janvier 2024,février,18.02,13.02,+38.5
02 janvier 2024,mars,15.80,13.29,+18.8
02 janvier 2024,avril,18.53,13.80,+34.3
02 janvier 2024,mai,13.79,11.17,+23.4
02 janvier 2024,juin,10.27,11.13,-7.7
02 janvier 2024,juillet,18.21,13.79,+32.1
02 janvier 2024,août,15.46,10.46,+47.8
02 janvier 2024,septembre,8.95,7.56,+18.3
02 janvier 2024,octobre,13.96,14.41,-3.2
02 janvier 2024,novembre,15.12,14.50,+4.3
02 janvier 2024,décembre,17.83,18.22,-2.1
02 janvier 2024,année,180.76,152.02,+18.9
04 février 2025,Janvier,13.83,13.71,+0.8
04 février 2025,Année glissante (de février à janvier n),181.11,179.29,+1.0
03 octobre 2024,Janvier,13.71,14.82,-7.5
03 octobre 2024,Février,15.07,18.03,-16.4
03 octobre 2024,Mars,15.19,15.76,-3.6
03 octobre 2024,Avril,11.89,18.61,-36.1
03 octobre 2024,Mai,15.72,13.76,+14.3
03 octobre 2024,Juin,14.15,10.22,+38.4
03 octobre 2024,Juillet,17.83,18.30,-2.6
03 octobre 2024,Août,14.27,15.42,-7.5
03 octobre 2024,Septembre,9.86,8.95,+10.1
03 octobre 2024,Neuf premiers mois,127.68,133.87,-4.6
03 octobre 2024,Année glissante (de octobre n-1 à septembre n),174.20,181.04,-3.8
02 avril 2024,Janvier,13.67,14.82,-7.8
02 avril 2024,Février,15.07,18.03,-16.4
02 avril 2024,Mars,15.00,15.76,-4.8
02 avril 2024,trois  premiers mois,43.74,48.60,-10.0
02 avril 2024,Année glissante (d'avril  n-1 à mars n),175.53,163.70,+7.2
03 mai 2024,Janvier,13.67,14.82,-7.8
03 mai 2024,Février,15.07,18.03,-16.4
03 mai 2024,Mars,15.00,15.76,-4.8
