lDate Article,Période,Films Français Année Courante,Films Français Année Précédente,Films Américains Année Courante,Films Américains Année Précédente,Autres Films Année Courante,Autres Films Année Précédente
2024-05-03,Période inconnue,2024,2023,2024,2023,2024,2023
2024-05-03,quatre premiers mois,44.5,47.8,29.9,39.5,25.7,12.7
2024-05-03,année glissante (de mai n-1 à avril n),38.5,41.2,38.2,44.0,23.3,14.8
2024-04-02,Période inconnue,2024,2023,2024,2023,2024,2023
2024-04-02,trois premiers mois,46.6,50.2,25.4,37.1,28.0,12.7
2024-04-02,année glissante (de avril n-1 à mars n),38.9,41.4,38.5,42.5,22.6,16.1
2023-11-02,Période inconnue,2023,2022,2023,2022,2023,2022
2023-11-02,dix premiers mois,38.5,42.0,45.9,36.9,15.6,21.0
2023-11-02,année glissante (de novembre n-1 à octobre n),38.4,41.1,47.4,39.2,14.2,19.7
2023-08-02,Période inconnue,2023,2022,2023,2022,2023,2022
2023-08-02,sept premiers mois,39.0,40.1,45.6,36.4,15.5,23.5
2023-08-02,année glissante (de août n-1 à juillet n),40.3,40.4,45.8,39.8,13.8,19.8
2023-09-04,Période inconnue,2023,2022,2023,2022,2023,2022
2023-09-04,huit premiers mois,36.8,38.7,46.9,38.1,16.3,23.2
2023-09-04,année glissante (de septembre n-1 à août n),39.5,39.1,46.4,40.3,14.2,20.7
2023-12-01,Période inconnue,2023,2022,2023,2022,2023,2022
2023-12-01,onze premiers mois,39.3,43.2,43.4,37.3,17.3,19.5
2023-12-01,année glissante (de décembre n-1 à novembre n),38.0,41.6,45.6,39.6,16.4,18.8
2025-02-04,Période inconnue,2025,2024,2025,2024,2025,2024
2025-02-04,Année glissante (de février n-1 à janvier n),43.9,41.0,38.3,38.9,17.8,20.0
2024-07-02,Période inconnue,2024,2023,2024,2023,2024,2023
2024-07-02,Six premiers mois,46.4,42.6,31.9,42.2,21.7,15.2
2024-07-02,Année glissante (de juillet n-1 à juin n),41.9,41.4,36.2,44.7,21.9,13.9
2024-06-03,Période inconnue,2024,2023,2024,2023,2024,2023
2024-06-03,Cinq premiers mois,46.7,44.7,29.7,40.8,23.5,14.5
2024-06-03,Année glissante (de juin n-1 à mai n),40.7,41.0,36.6,44.0,22.7,15.1
2024-12-31,Période inconnue,2024,2023,2024,2023,2024,2023
2024-12-31,Année,44.4,40.1,36.7,41.2,18.9,18.7
2025-03-03,Période inconnue,2025,2024,2025,2024,2025,2024
2025-03-03,Année glissante (de mars n-1 à février n),43.4,40.0,39.4,38.1,17.2,21.9
2024-10-03,Période inconnue,2024,2023,2024,2023,2024,2023
2024-10-03,Neuf premiers mois,45.0,37.6,37.4,43.8,17.6,18.6
2024-10-03,Année glissante (de octobre n-1 à septembre n),45.6,39.3,38.5,44.5,17.9,16.2
2025-04-03,Période inconnue,2025,2024,2025,2024,2025,2024
2025-04-03,trois premiers mois,47.0,48.1,30.2,22.8,22.9,29.1
2025-04-03,année glissante (d’avril n-1 à mars n),44.4,39.3,37.5,37.8,18.1,22.9
2024-03-04,Période inconnue,2024,2023,2024,2023,2024,2023
2024-03-04,année glissante (de mars n-1 à février n),39.8,41.5,38.5,41.0,21.7,17.5
2024-08-02,Période inconnue,2024,2023,2024,2023,2024,2023
2024-08-02,Sept premiers mois,45.4,39.3,35.6,44.5,19.0,15.2
2024-08-02,Année glissante ((d’août n-1 à juillet n),43.8,40.5,35.9,45.0,20.4,14.5
2023-10-03,Période inconnue,2023,2022,2023,2022,2023,2022
2023-10-03,neuf premiers mois,37.4,39.8,46.0,37.7,16.6,22.5
2023-10-03,(de octobre n-1 à septembre n),39.2,39.3,46.3,39.4,14.5,21.3
2024-12-03,Période inconnue,2024,2023,2024,2023,2024,2023
2024-12-03,onze premiers mois,46.0,39.9,34.2,42.4,19.8,17.7
2024-12-03,année glissante (de décembre n-1 à novembre n),45.6,38.5,33.8,44.6,20.5,16.9
2024-09-02,Période inconnue,2024,2023,2024,2023,2024,2023
2024-09-02,huit premiers mois,44.1,37.2,38.8,44.4,17.1,18.4
2024-09-02,année glissante (de septembre n-1 à août n),44.9,39.8,37.4,44.5,17.8,15.8
2024-11-04,Période inconnue,2024,2023,2024,2023,2024,2023
2024-11-04,Dix premiers mois,45.8,39.0,36.9,43.1,17.3,17.9
2024-11-04,Année glissante (de novembre n-1 à octobre n),45.7,38.8,36.1,45.0,18.2,16.2
