date,genre,title
09/04/2025,Aventure,
09/04/2025,Comédie dramatique,
09/04/2025,Drame,
09/04/2025,"Action, Animation, Science fiction",
09/04/2025,Drame,
09/04/2025,"Action, Thriller",
09/04/2025,Biopic,
09/04/2025,Comédie,
09/04/2025,Comédie dramatique,
09/04/2025,"Drame, Histoire",
09/04/2025,"Comédie, Romance",
09/04/2025,Documentaire,
09/04/2025,Animation,
09/04/2025,"Horreur, Thriller",
16/04/2025,"Biopic, Drame",
16/04/2025,Comédie dramatique,
16/04/2025,"Drame, Western",
16/04/2025,Comédie,
16/04/2025,"Drame, Horreur, Thriller",
16/04/2025,Non classé,
16/04/2025,Action,
16/04/2025,"Biopic, Drame, Histoire",
16/04/2025,Comédie,
16/04/2025,Drame,
16/04/2025,Drame,
16/04/2025,Drame,
16/04/2025,"Drame, Polar",
16/04/2025,"Comédie, Documentaire",
17/04/2025,"Action, Animation, Aventure",
23/04/2025,"Drame, Histoire",
23/04/2025,Comédie,
23/04/2025,Comédie dramatique,
23/04/2025,Non classé,
23/04/2025,Thriller,
23/04/2025,Thriller,
23/04/2025,"Aventure, Fantastique",
23/04/2025,Documentaire,
23/04/2025,Documentaire,
23/04/2025,Romance,
23/04/2025,Horreur,
23/04/2025,Thriller,
23/04/2025,Thriller,
30/04/2025,Comédie,
30/04/2025,"Comédie, Drame",
30/04/2025,"Fantastique, Polar",
30/04/2025,Comédie,
30/04/2025,Action,
30/04/2025,Comédie,
30/04/2025,Drame,
30/04/2025,Comédie dramatique,
30/04/2025,"Drame, Romance",
30/04/2025,Documentaire,
30/04/2025,Comédie dramatique,
30/04/2025,Drame,
30/04/2025,Documentaire,
30/04/2025,Documentaire,
07/05/2025,Drame,
07/05/2025,Drame,
07/05/2025,Drame,
07/05/2025,Comédie,
07/05/2025,Comédie dramatique,
07/05/2025,Comédie,
07/05/2025,Comédie dramatique,
07/05/2025,"Comédie, Romance",
07/05/2025,Documentaire,
07/05/2025,Comédie,
07/05/2025,"Comédie, Romance",
07/05/2025,"Action, Thriller",
07/05/2025,Comédie dramatique,
14/05/2025,Drame,
14/05/2025,"Drame, Polar, Romance, Thriller",
14/05/2025,Comédie dramatique,
14/05/2025,"Comédie dramatique, Thriller",
14/05/2025,Horreur,
14/05/2025,"Biopic, Comédie musicale",
14/05/2025,Drame,
16/05/2025,Thriller,
18/05/2025,Comédie,
21/05/2025,Action,
21/05/2025,Comédie dramatique,
21/05/2025,Drame,
21/05/2025,"Aventure, Comédie",
21/05/2025,"Horreur, Thriller",
28/05/2025,Non classé,
28/05/2025,Comédie dramatique,
28/05/2025,"Action, Thriller",
28/05/2025,"Drame, Science fiction",
28/05/2025,"Animation, Aventure",
28/05/2025,Drame,
28/05/2025,"Horreur, Thriller",
04/06/2025,Comédie dramatique,
04/06/2025,Comédie,
04/06/2025,Action,
04/06/2025,Drame,
04/06/2025,Documentaire,
04/06/2025,Documentaire,
04/06/2025,Documentaire,
04/06/2025,"Horreur, Thriller",
11/06/2025,"Action, Aventure, Fantastique",
11/06/2025,Drame,
11/06/2025,Drame,
11/06/2025,Drame,
11/06/2025,Drame,
11/06/2025,Comédie,
11/06/2025,"Drame, Horreur",
11/06/2025,Horreur,
11/06/2025,Documentaire,
11/06/2025,Drame,
18/06/2025,"Animation, Aventure",
18/06/2025,"Horreur, Thriller",
18/06/2025,Comédie,
18/06/2025,Comédie,
18/06/2025,Comédie,
18/06/2025,Comédie,
18/06/2025,Comédie dramatique,
18/06/2025,"Animation, Aventure, Comédie",
18/06/2025,"Animation, Aventure",
18/06/2025,Drame,
18/06/2025,Comédie musicale,
18/06/2025,Fantastique,
25/06/2025,Animation,
25/06/2025,"Horreur, Thriller",
25/06/2025,Science fiction,
25/06/2025,Action,
25/06/2025,"Comédie, Science fiction",
25/06/2025,Non classé,
25/06/2025,Thriller,
27/06/2025,Comédie dramatique,
02/07/2025,"Action, Aventure, Science fiction",
02/07/2025,Drame,
02/07/2025,Animation,
02/07/2025,Comédie dramatique,
02/07/2025,Action,
02/07/2025,Comédie dramatique,
02/07/2025,Thriller,
02/07/2025,Horreur,
02/07/2025,Drame,
09/07/2025,"Action, Science fiction",
09/07/2025,Non classé,
09/07/2025,Comédie,
09/07/2025,Documentaire,
09/07/2025,Drame,
09/07/2025,Drame,
09/07/2025,"Documentaire, Drame",
09/07/2025,Drame,
16/07/2025,Comédie,
16/07/2025,Drame,
16/07/2025,"Animation, Aventure",
16/07/2025,"Horreur, Thriller",
23/07/2025,Aventure,
23/07/2025,"Horreur, Thriller",
30/07/2025,Fantastique,
30/07/2025,"Comédie, Drame",
30/07/2025,"Drame, Romance",
06/08/2025,"Horreur, Thriller",
06/08/2025,Comédie,
06/08/2025,"Horreur, Thriller",
06/08/2025,Comédie,
06/08/2025,Comédie,
06/08/2025,Comédie,
13/08/2025,"Action, Aventure",
13/08/2025,Animation,
13/08/2025,"Action, Comédie",
13/08/2025,Comédie,
13/08/2025,"Drame, Thriller",
20/08/2025,Drame,
20/08/2025,Action,
20/08/2025,Horreur,
20/08/2025,"Drame, Horreur",
27/08/2025,Action,
27/08/2025,"Polar, Thriller",
27/08/2025,Drame,
27/08/2025,Comédie,
03/09/2025,Drame,
03/09/2025,Comédie,
03/09/2025,Documentaire,
10/09/2025,Comédie,
10/09/2025,Documentaire,
10/09/2025,"Horreur, Thriller",
17/09/2025,"Drame, Fantastique",
17/09/2025,"Science fiction, Thriller",
17/09/2025,Documentaire,
17/09/2025,Drame,
17/09/2025,"Action, Animation",
24/09/2025,Horreur,
24/09/2025,Drame,
24/09/2025,Comédie dramatique,
24/09/2025,Comédie dramatique,
24/09/2025,Drame,
24/09/2025,Non classé,
01/10/2025,Horreur,
01/10/2025,Biopic,
01/10/2025,"Aventure, Drame",
08/10/2025,Animation,
08/10/2025,"Action, Animation, Science fiction",
08/10/2025,"Animation, Aventure, Comédie",
08/10/2025,Comédie,
08/10/2025,"Polar, Thriller",
15/10/2025,"Animation, Biopic",
15/10/2025,"Horreur, Thriller",
15/10/2025,"Action, Polar, Science fiction",
15/10/2025,Comédie,
15/10/2025,Comédie,
22/10/2025,Animation,
22/10/2025,"Aventure, Science fiction",
22/10/2025,"Action, Aventure",
22/10/2025,Comédie,
22/10/2025,Aventure,
22/10/2025,Documentaire,
29/10/2025,Comédie dramatique,
05/11/2025,Science fiction,
05/11/2025,Drame,
05/11/2025,"Comédie, Science fiction",
05/11/2025,Science fiction,
12/11/2025,Comédie,
19/11/2025,"Polar, Thriller",
19/11/2025,Animation,
26/11/2025,"Aventure, Comédie, Fantastique",
26/11/2025,"Animation, Aventure, Comédie",
03/12/2025,"Horreur, Thriller",
10/12/2025,Aventure,
10/12/2025,Comédie,
17/12/2025,"Action, Aventure",
17/12/2025,Animation,
17/12/2025,"Aventure, Comédie",
17/12/2025,Non classé,
24/12/2025,"Action, Aventure",
24/12/2025,Comédie,
07/01/2026,"Horreur, Thriller",
28/01/2026,Thriller,
28/01/2026,Comédie,
28/01/2026,"Animation, Aventure",
28/01/2026,"Animation, Aventure",
28/01/2026,Horreur,
04/02/2026,Comédie,
11/02/2026,Drame,
18/02/2026,Animation,
25/02/2026,Horreur,
04/03/2026,"Fantastique, Horreur",
04/03/2026,Non classé,
04/03/2026,Animation,
08/04/2026,Comédie,
20/05/2026,"Aventure, Fantastique, Science fiction",
10/06/2026,"Comédie, Horreur",
